Product_Name,Pricing,Ratings
Apple iPhone SE (Black| 64 GB),Rs.42500,final_rating
Apple iPhone 7 (Black| 32 GB),Rs.28499,final_rating
Apple iPhone 7 Plus (Black| 32 GB),Rs.34999,final_rating
Apple iPhone SE (White| 64 GB),Rs.42500,final_rating
Apple iPhone XS (Space Grey| 64 GB),Rs.59999,final_rating
Apple iPhone SE (Black| 128 GB),Rs.47800,final_rating
Apple iPhone 11 (Black| 64 GB),Rs.68300,final_rating
Apple iPhone SE (White| 128 GB),Rs.47800,final_rating
Apple iPhone 7 Plus (Gold| 32 GB),Rs.34999,final_rating
Apple iPhone XR (Black| 64 GB),Rs.52500,final_rating
Apple iPhone 11 (White| 128 GB),Rs.73600,final_rating
Apple iPhone 11 (Black| 128 GB),Rs.73600,final_rating
Apple iPhone 11 (White| 64 GB),Rs.68300,final_rating
Apple iPhone XR (White| 64 GB),Rs.52500,final_rating
Apple iPhone 11 (Green| 128 GB),Rs.73600,final_rating
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs.52500,final_rating
Apple iPhone 11 (Purple| 128 GB),Rs.73600,final_rating
Apple iPhone 11 (Purple| 64 GB),Rs.68300,final_rating
Apple iPhone 7 Plus (Rose Gold| 32 GB),Rs.34999,final_rating
Apple iPhone 11 (Red| 64 GB),Rs.68300,final_rating
Apple iPhone 11 (Red| 128 GB),Rs.73600,final_rating
Apple iPhone XR (Blue| 64 GB),Rs.52500,final_rating
Apple iPhone XR (Coral| 64 GB),Rs.52500,final_rating
Apple iPhone 6s (Space Grey| 32 GB),Rs.29747,final_rating
